perturbagen	entrez_gene_id	z_score	direction
DB00014	6676	4.843999999999999	up
DB00091	332	-17.985	down
DB00091	5111	-17.233	down
DB00091	10112	-16.437	down
DB00091	890	-16.418	down
DB00091	5982	-15.159	down
DB00091	983	-14.677	down
DB00091	4605	-14.546	down
DB00091	3312	-14.493	down
DB00091	5347	-14.029000000000002	down
DB00091	7153	-13.888	down
DB00091	3925	-13.436	down
DB00091	6697	-13.402999999999999	down
DB00091	6790	-12.969000000000001	down
DB00091	891	-12.78	down
DB00091	6182	-12.039000000000001	down
DB00091	6839	-11.943	down
DB00091	1017	-11.612	down
DB00091	991	-11.544	down
DB00091	4172	-11.453	down
DB00091	3693	-11.437000000000001	down
DB00091	51203	-11.352	down
DB00091	3930	-11.308	down
DB00091	10051	-11.172	down
DB00091	79080	-11.026	down
DB00091	11065	-10.958	down
DB00091	5223	-10.703	down
DB00091	993	-10.68	down
DB00091	8318	-10.522	down
DB00091	79902	-10.485999999999999	down
DB00091	22809	-10.48	down
DB00091	23463	-10.269	down
DB00091	55699	-10.22	down
DB00091	51293	-10.171	down
DB00091	79073	-10.003	down
DB00091	7027	-9.94	down
DB00091	9212	-9.891	down
DB00091	9133	-9.812000000000001	down
DB00091	22934	-9.736	down
DB00091	51116	-9.693	down
DB00091	1633	-9.687000000000001	down
DB00091	5050	-9.338	down
DB00091	9928	-9.263	down
DB00091	84722	-9.202	down
DB00091	896	-9.173	down
DB00091	51053	-9.133	down
DB00091	10059	-9.118	down
DB00091	5985	-9.081	down
DB00091	23076	-9.021	down
DB00091	2958	-8.954	down
DB00091	899	-8.89	down
DB00091	8914	-8.868	down
DB00091	5427	-8.811	down
DB00091	23512	-8.805	down
DB00091	5300	-8.799	down
DB00091	9833	-8.776	down
DB00091	4860	-8.731	down
DB00091	6117	-8.69	down
DB00091	11004	-8.674	down
DB00091	8726	-8.574	down
DB00091	6390	-8.317	down
DB00091	26292	-8.279	down
DB00091	3066	-8.259	down
DB00091	10273	-8.215	down
DB00091	1445	-8.017999999999999	down
DB00091	10775	-7.984	down
DB00091	25825	-7.97	down
DB00091	23636	-7.888	down
DB00091	54512	-7.882999999999999	down
DB00091	8520	-7.852	down
DB00091	11137	-7.794	down
DB00091	83743	-7.787999999999999	down
DB00091	1212	-7.766	down
DB00091	2956	-7.756	down
DB00091	3978	-7.752000000000001	down
DB00091	7106	-7.7139999999999995	down
DB00091	11007	-7.654	down
DB00091	1786	-7.519	down
DB00091	5997	-7.507999999999999	down
DB00091	60493	-7.483	down
DB00091	60528	-7.412999999999999	down
DB00091	9270	-7.405	down
DB00091	84617	-7.397	down
DB00091	128	-7.351	down
DB00091	10131	-7.234	down
DB00091	57215	-7.0889999999999995	down
DB00091	2037	-7.08	down
DB00091	22827	-7.08	down
DB00091	572	-7.061	down
DB00091	55256	-7.024	down
DB00091	90861	-7.018	down
DB00091	7264	-6.977	down
DB00091	30836	-6.966	down
DB00091	2146	-6.9479999999999995	down
DB00091	25874	-6.836	down
DB00091	9801	-6.779	down
DB00091	672	-6.718999999999999	down
DB00091	51001	-6.626	down
DB00091	3303	-6.602	down
DB00091	55038	-6.539	down
DB00091	3315	-6.474	down
DB00091	54881	-6.435	down
DB00091	994	-6.419	down
DB00091	3251	-6.402	down
DB00091	1738	-6.334	down
DB00091	3682	-6.295	down
DB00091	5627	-6.2860000000000005	down
DB00091	207	-6.274	down
DB00091	5708	-6.2589999999999995	down
DB00091	3329	-6.242999999999999	down
DB00091	7416	-6.1770000000000005	down
DB00091	3337	-6.1739999999999995	down
DB00091	27095	-6.172999999999999	down
DB00091	1429	-6.1610000000000005	down
DB00091	10298	-6.153	down
DB00091	79143	-6.132000000000001	down
DB00091	8607	-6.132000000000001	down
DB00091	10362	-6.077999999999999	down
DB00091	79850	-6.077999999999999	down
DB00091	6597	-6.0729999999999995	down
DB00091	10523	-5.978	down
DB00091	10857	-5.928	down
DB00091	64429	-5.876	down
DB00091	873	-5.861000000000001	down
DB00091	7866	-5.807	down
DB00091	5529	-5.8020000000000005	down
DB00091	6118	-5.773	down
DB00091	10146	-5.71	down
DB00091	664	-5.7010000000000005	down
DB00091	8895	-5.7	down
DB00091	9134	-5.672000000000001	down
DB00091	6195	-5.5729999999999995	down
DB00091	8851	-5.531000000000001	down
DB00091	51070	-5.506	down
DB00091	30849	-5.492999999999999	down
DB00091	10606	-5.433	down
DB00091	2063	-5.412000000000001	down
DB00091	25839	-5.4110000000000005	down
DB00091	998	-5.403	down
DB00091	51071	-5.391	down
DB00091	291	-5.34	down
DB00091	595	-5.33	down
DB00091	51495	-5.294	down
DB00091	2109	-5.289	down
DB00091	23530	-5.277	down
DB00091	23585	-5.215	down
DB00091	6603	-5.195	down
DB00091	23244	-5.148	down
DB00091	10776	-5.142	down
DB00091	10670	-5.092	down
DB00091	27346	-5.079	down
DB00091	11041	-5.075	down
DB00091	1994	-5.0169999999999995	down
DB00091	9128	-5.0	down
DB00091	10589	-4.976	down
DB00091	10915	-4.975	down
DB00091	9797	-4.916	down
DB00091	9817	-4.9030000000000005	down
DB00091	2767	-4.886	down
DB00091	10007	-4.878	down
DB00091	5836	-4.871	down
DB00091	23210	-4.87	down
DB00091	142	-4.845	down
DB00091	64943	-4.828	down
DB00091	2624	-4.7989999999999995	down
DB00091	93487	-4.794	down
DB00091	54205	-4.721	down
DB00091	8480	-4.709	down
DB00091	51015	-4.702	down
DB00091	3028	-4.69	down
DB00091	1759	-4.678	down
DB00091	9688	-4.651	down
DB00091	10434	-4.626	down
DB00091	4927	-4.6160000000000005	down
DB00091	5092	-4.605	down
DB00091	80758	-4.572	down
DB00091	55012	-4.56	down
DB00091	23326	-4.519	down
DB00091	10892	-4.507	down
DB00091	9690	-4.486000000000001	down
DB00091	1605	-4.438	down
DB00091	5423	-4.433	down
DB00091	9943	-4.387	down
DB00091	226	-4.381	down
DB00091	3033	-4.351	down
DB00091	9531	-4.303	down
DB00091	8243	-4.276	down
DB00091	22905	-4.273	down
DB00091	4154	-4.256	down
DB00091	6119	-4.242	down
DB00091	5440	-4.224	down
DB00091	29083	-4.216	down
DB00091	3098	-4.149	down
DB00091	11232	-4.138	down
DB00091	6284	-4.131	down
DB00091	55127	-4.124	down
DB00091	701	-4.056	down
DB00091	9851	4.083	up
DB00091	2534	4.158	up
DB00091	7048	4.177	up
DB00091	10730	4.18	up
DB00091	2920	4.296	up
DB00091	54499	4.332	up
DB00091	7538	4.3469999999999995	up
DB00091	10765	4.397	up
DB00091	8900	4.408	up
DB00091	79961	4.419	up
DB00091	56889	4.42	up
DB00091	1022	4.462	up
DB00091	51465	4.48	up
DB00091	4775	4.564	up
DB00091	9517	4.57	up
DB00091	9710	4.588	up
DB00091	3964	4.656000000000001	up
DB00091	27244	4.665	up
DB00091	2523	4.69	up
DB00091	64080	4.833	up
DB00091	727	4.851	up
DB00091	23011	4.88	up
DB00091	8553	4.933	up
DB00091	54442	4.96	up
DB00091	8349	5.031000000000001	up
DB00091	6464	5.207000000000001	up
DB00091	5909	5.225	up
DB00091	23223	5.242999999999999	up
DB00091	79090	5.257000000000001	up
DB00091	329	5.393	up
DB00091	10221	5.479	up
DB00091	26511	5.556	up
DB00091	10610	5.631	up
DB00091	66008	5.635	up
DB00091	26036	5.638999999999999	up
DB00091	7157	5.657	up
DB00091	3157	5.678	up
DB00091	9289	5.7010000000000005	up
DB00091	80212	5.789	up
DB00091	4609	5.807	up
DB00091	1153	5.896	up
DB00091	2309	5.928	up
DB00091	1509	6.047000000000001	up
DB00091	9650	6.096	up
DB00091	3628	6.1	up
DB00091	51635	6.1979999999999995	up
DB00091	2274	6.2139999999999995	up
DB00091	1514	6.287000000000001	up
DB00091	8878	6.407	up
DB00091	65123	6.8389999999999995	up
DB00091	3300	6.858	up
DB00091	9988	6.926	up
DB00091	10668	6.938	up
DB00091	4864	7.175	up
DB00091	26136	7.268	up
DB00091	9375	7.662000000000001	up
DB00091	8444	7.695	up
DB00091	25932	7.846	up
DB00091	7982	7.864	up
DB00091	79094	8.007	up
DB00091	10695	8.1	up
DB00091	11230	8.218	up
DB00091	23588	8.388	up
DB00091	29911	8.494	up
DB00091	9854	8.559	up
DB00091	54386	8.576	up
DB00091	868	8.605	up
DB00091	9761	8.914	up
DB00091	3638	9.121	up
DB00091	3162	9.25	up
DB00091	79947	9.764	up
DB00091	9924	10.105	up
DB00091	51026	10.198	up
DB00091	7358	10.356	up
DB00091	22926	10.475999999999999	up
DB00091	10013	10.73	up
DB00091	64746	10.743	up
DB00091	10150	11.065999999999999	up
DB00091	63874	11.765999999999998	up
DB00091	1026	11.844000000000001	up
DB00091	5366	12.04	up
DB00091	4783	12.222999999999999	up
DB00091	6184	12.407	up
DB00091	57761	12.652999999999999	up
DB00091	11014	12.745999999999999	up
