perturbagen	entrez_gene_id	z_score	direction
2	991	-4.687	down
2	54438	4.551	up
9	9093	-5.608	down
9	835	5.056	up
18	10668	-4.178999999999999	down
25	1958	8.315	up
30	2288	-4.254	down
30	57215	-4.208	down
30	29911	4.2330000000000005	up
30	6793	4.984	up
30	30	8.35	up
35	7153	-4.53	down
35	890	-4.489	down
35	27095	-4.473	down
35	3157	-4.449	down
35	11325	4.215	up
35	5359	4.428	up
35	7852	4.492	up
47	55958	4.08	up
47	5427	4.166	up
60	10451	4.151	up
60	57192	4.186	up
60	6443	4.265	up
81	51056	-7.015	down
81	5321	-6.417999999999999	down
81	1829	-6.39	down
81	10049	-6.317	down
81	831	-5.162999999999999	down
81	23200	-5.0680000000000005	down
81	10059	-5.067	down
81	4232	-4.711	down
81	10285	-4.17	down
81	4817	-4.156000000000001	down
81	958	-4.074	down
81	23378	4.269	up
81	54681	4.388	up
81	25932	4.423	up
81	9053	4.425	up
81	5831	4.74	up
81	8869	5.13	up
81	57192	5.278	up
81	51569	5.766	up
81	9903	6.17	up
81	10046	6.218999999999999	up
81	10451	6.394	up
88	79143	-4.659	down
91	10362	-4.997	down
91	22823	-4.257	down
91	26520	-4.246	down
91	9695	4.127	up
91	2048	4.2669999999999995	up
93	51070	-10.0	down
93	9270	-8.795	down
93	3251	-7.942	down
93	10730	-7.726	down
93	23210	-7.649	down
93	22827	-7.605	down
93	29937	-7.579	down
93	6194	-7.462000000000001	down
93	51635	-7.232	down
93	3329	-7.155	down
93	8624	-7.041	down
93	10362	-7.021	down
93	11007	-6.912999999999999	down
93	5223	-6.768	down
93	5836	-6.747999999999999	down
93	5111	-6.687	down
93	22934	-6.655	down
93	2958	-6.526	down
93	6009	-6.502000000000001	down
93	9276	-6.316	down
93	6184	-6.315	down
93	10892	-6.268	down
93	6284	-6.263999999999999	down
93	665	-6.185	down
93	5366	-6.143	down
93	90861	-6.115	down
93	10131	-6.059	down
93	58478	-6.058	down
93	481	-5.96	down
93	79921	-5.925	down
93	1831	-5.9	down
93	9112	-5.832000000000001	down
93	54386	-5.797000000000001	down
93	27346	-5.745	down
93	10969	-5.742000000000001	down
93	5050	-5.689	down
93	23588	-5.646	down
93	2222	-5.644	down
93	50865	-5.582999999999999	down
93	51282	-5.489	down
93	5993	-5.476	down
93	7296	-5.472	down
93	6390	-5.402	down
93	6119	-5.386	down
93	3028	-5.354	down
93	23647	-5.353	down
93	10972	-5.341	down
93	5300	-5.331	down
93	16	-5.318	down
93	1029	-5.2989999999999995	down
93	60528	-5.252999999999999	down
93	124583	-5.239	down
93	55012	-5.211	down
93	9212	-5.192	down
93	22794	-5.191	down
93	8914	-5.154	down
93	22889	-5.135	down
93	23585	-5.127999999999999	down
93	51495	-5.095	down
93	25932	-5.092	down
93	1429	-5.091	down
93	55699	-5.063	down
93	10797	-5.053999999999999	down
93	891	-5.026	down
93	1647	-5.003	down
93	5547	-4.921	down
93	54205	-4.898	down
93	142	-4.865	down
93	10857	-4.822	down
93	3308	-4.785	down
93	1022	-4.782	down
93	6118	-4.718999999999999	down
93	51056	-4.689	down
93	9868	-4.672	down
93	7867	-4.573	down
93	10051	-4.561	down
93	10007	-4.53	down
93	9924	-4.503	down
93	7416	-4.4830000000000005	down
93	2063	-4.43	down
93	9519	-4.423	down
93	10915	-4.412	down
93	65057	-4.3580000000000005	down
93	4144	-4.332	down
93	51053	-4.316	down
93	9650	-4.312	down
93	10652	-4.306	down
93	23326	-4.28	down
93	9552	-4.224	down
93	6182	-4.202	down
93	5770	-4.194	down
93	11157	-4.17	down
93	9926	-4.165	down
93	993	-4.1610000000000005	down
93	7485	-4.138999999999999	down
93	91949	-4.138999999999999	down
93	9690	-4.138	down
93	8243	-4.118	down
93	5898	-4.056	down
93	23131	4.0569999999999995	up
93	84890	4.084	up
93	5467	4.136	up
93	10818	4.188	up
93	4154	4.23	up
93	6347	4.23	up
93	4850	4.2330000000000005	up
93	7099	4.303	up
93	7982	4.317	up
93	5777	4.349	up
93	5257	4.41	up
93	7690	4.416	up
93	55008	4.537	up
93	976	4.561	up
93	595	4.574	up
93	3108	4.5760000000000005	up
93	1465	4.614	up
93	3693	4.675	up
93	1534	4.7330000000000005	up
93	1052	4.744	up
93	1958	4.76	up
93	26036	4.76	up
93	23271	4.873	up
93	57178	4.878	up
93	5880	4.944	up
93	23212	5.03	up
93	55818	5.055	up
93	23139	5.061	up
93	9710	5.195	up
93	23335	5.221	up
93	3964	5.367000000000001	up
93	23300	5.472	up
93	102	5.478	up
93	29928	5.537999999999999	up
93	2115	5.617000000000001	up
93	8821	5.6339999999999995	up
93	85377	5.648	up
93	9712	5.691	up
93	79643	5.724	up
93	2042	5.742000000000001	up
93	22841	5.773	up
93	2810	5.914	up
93	4846	5.941	up
93	55148	5.942	up
93	3300	5.966	up
93	9289	6.07	up
93	10610	6.184	up
93	51160	6.192	up
93	4088	6.2170000000000005	up
93	23410	6.245	up
93	56924	6.291	up
93	8324	6.327000000000001	up
93	375346	6.393	up
93	323	6.394	up
93	9903	6.4110000000000005	up
93	8503	6.44	up
93	695	6.504	up
93	6509	6.523	up
93	2817	6.537999999999999	up
93	6772	6.566	up
93	154	6.577000000000001	up
93	6696	6.5920000000000005	up
93	51170	6.612	up
93	9517	6.625	up
93	80204	6.6739999999999995	up
93	25987	6.702999999999999	up
93	3909	6.801	up
93	2690	6.805	up
93	7048	6.807	up
93	10513	6.8229999999999995	up
93	55620	6.917000000000001	up
93	84159	6.949	up
93	80746	7.027	up
93	3553	7.0920000000000005	up
93	8800	7.098	up
93	3800	7.257000000000001	up
93	6774	7.257000000000001	up
93	2736	7.257999999999999	up
93	2597	7.267	up
93	2908	7.364	up
93	7043	7.421	up
93	5891	7.454	up
93	5468	7.487	up
93	29978	7.495	up
93	843	7.52	up
93	54681	7.525	up
93	8837	7.6370000000000005	up
93	1870	7.877000000000001	up
93	2048	7.903	up
93	1950	7.932	up
93	10057	7.9479999999999995	up
93	6793	7.966	up
93	54438	8.046	up
93	5743	8.101	up
93	4208	8.287	up
93	29911	8.309	up
93	7849	8.357999999999999	up
93	25966	8.361	up
93	57192	8.626	up
93	10320	8.823	up
93	4638	8.872	up
93	2852	8.908999999999999	up
93	2920	9.219	up
93	355	9.365	up
93	5720	9.365	up
93	6616	9.501	up
93	23338	9.669	up
93	55604	9.783	up
93	1616	9.8	up
93	23670	9.818999999999999	up
93	2770	9.996	up
93	10046	10.0	up
93	3416	10.0	up
93	51005	10.0	up
93	5971	10.0	up
93	9697	10.0	up
95	9134	-4.519	down
100	29082	-6.556	down
100	1647	-5.14	down
100	4016	4.145	up
100	1021	4.1930000000000005	up
100	5927	5.307	up
109	5696	-5.7829999999999995	down
109	27244	-4.15	down
109	26227	-4.102	down
109	55111	4.739	up
115	23658	-6.278	down
115	10190	-5.925	down
115	58497	4.225	up
115	3108	4.45	up
115	2908	5.015	up
128	10273	-4.957	down
128	51160	-4.652	down
135	1647	-4.226	down
136	84617	-5.49	down
136	5997	4.218	up
136	2920	4.699	up
136	4312	5.301	up
