entrez_gene_id	status	symbol	type_of_gene	description
100	imputed	ADA	protein-coding	adenosine deaminase
1000	imputed	CDH2	protein-coding	cadherin 2, type 1, N-cadherin (neuronal)
10000	imputed	AKT3	protein-coding	v-akt murine thymoma viral oncogene homolog 3
10001	imputed	MED6	protein-coding	mediator complex subunit 6
10005	imputed	ACOT8	protein-coding	acyl-CoA thioesterase 8
10006	imputed	ABI1	protein-coding	abl-interactor 1
10007	measured	GNPDA1	protein-coding	glucosamine-6-phosphate deaminase 1
1001	measured	CDH3	protein-coding	cadherin 3, type 1, P-cadherin (placental)
10010	imputed	TANK	protein-coding	TRAF family member-associated NFKB activator
100129250	imputed	TOPORS-AS1	ncRNA	TOPORS antisense RNA 1
100129361	imputed	SMIM10L1	protein-coding	small integral membrane protein 10 like 1
10013	measured	HDAC6	protein-coding	histone deacetylase 6
100132406	imputed	NBPF10	protein-coding	neuroblastoma breakpoint family, member 10
100133941	imputed	CD24	protein-coding	CD24 molecule
10014	imputed	HDAC5	protein-coding	histone deacetylase 5
10015	imputed	PDCD6IP	protein-coding	programmed cell death 6 interacting protein
10016	imputed	PDCD6	protein-coding	programmed cell death 6
10019	imputed	SH2B3	protein-coding	SH2B adaptor protein 3
10020	imputed	GNE	protein-coding	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
10024	imputed	TROAP	protein-coding	trophinin associated protein
10025	imputed	MED16	protein-coding	mediator complex subunit 16
10026	imputed	PIGK	protein-coding	phosphatidylinositol glycan anchor biosynthesis, class K
100272147	imputed	CMC4	protein-coding	C-x(9)-C motif containing 4
100287932	imputed	TIMM23	protein-coding	translocase of inner mitochondrial membrane 23 homolog (yeast)
100289678	imputed	ZNF783	protein-coding	zinc finger family member 783
10036	imputed	CHAF1A	protein-coding	chromatin assembly factor 1, subunit A (p150)
10038	measured	PARP2	protein-coding	poly (ADP-ribose) polymerase 2
10039	imputed	PARP3	protein-coding	poly (ADP-ribose) polymerase family, member 3
1004	imputed	CDH6	protein-coding	cadherin 6, type 2, K-cadherin (fetal kidney)
10040	imputed	TOM1L1	protein-coding	target of myb1 (chicken)-like 1
10042	imputed	HMGXB4	protein-coding	HMG box domain containing 4
10043	imputed	TOM1	protein-coding	target of myb1 (chicken)
10046	measured	MAMLD1	protein-coding	mastermind-like domain containing 1
10048	imputed	RANBP9	protein-coding	RAN binding protein 9
10049	measured	DNAJB6	protein-coding	DnaJ (Hsp40) homolog, subfamily B, member 6
100499177	imputed	THAP9-AS1	ncRNA	THAP9 antisense RNA 1
100507436	imputed	MICA	protein-coding	MHC class I polypeptide-related sequence A
10051	measured	SMC4	protein-coding	structural maintenance of chromosomes 4
10053	imputed	AP1M2	protein-coding	adaptor-related protein complex 1, mu 2 subunit
10054	imputed	UBA2	protein-coding	ubiquitin-like modifier activating enzyme 2
10055	imputed	SAE1	protein-coding	SUMO1 activating enzyme subunit 1
10057	measured	ABCC5	protein-coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
10058	measured	ABCB6	protein-coding	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)
10059	measured	DNM1L	protein-coding	dynamin 1-like
10061	imputed	ABCF2	protein-coding	ATP-binding cassette, sub-family F (GCN20), member 2
10062	imputed	NR1H3	protein-coding	nuclear receptor subfamily 1, group H, member 3
10063	imputed	COX17	protein-coding	COX17 cytochrome c oxidase copper chaperone
10066	imputed	SCAMP2	protein-coding	secretory carrier membrane protein 2
10067	imputed	SCAMP3	protein-coding	secretory carrier membrane protein 3
10069	imputed	RWDD2B	protein-coding	RWD domain containing 2B
10072	imputed	DPP3	protein-coding	dipeptidyl-peptidase 3
10073	imputed	SNUPN	protein-coding	snurportin 1
10075	imputed	HUWE1	protein-coding	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase
10078	imputed	TSSC4	protein-coding	tumor suppressing subtransferable candidate 4
10079	imputed	ATP9A	protein-coding	ATPase, class II, type 9A
10083	imputed	USH1C	protein-coding	Usher syndrome 1C
10084	imputed	PQBP1	protein-coding	polyglutamine binding protein 1
10087	imputed	COL4A3BP	protein-coding	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
10092	imputed	ARPC5	protein-coding	actin related protein 2/3 complex, subunit 5, 16kDa
10093	imputed	ARPC4	protein-coding	actin related protein 2/3 complex, subunit 4, 20kDa
10094	imputed	ARPC3	protein-coding	actin related protein 2/3 complex, subunit 3, 21kDa
10095	imputed	ARPC1B	protein-coding	actin related protein 2/3 complex, subunit 1B, 41kDa
10096	imputed	ACTR3	protein-coding	ARP3 actin-related protein 3 homolog (yeast)
