perturbagen	down-imputed	down-measured	up-imputed	up-measured
DB00014	0	0	0	1
DB00091	339	178	356	108
DB00121	1	5	1	8
DB00130	4	4	0	12
DB00131	0	6	0	3
DB00132	1	13	2	19
DB00136	2	17	5	33
DB00140	0	2	0	5
DB00146	0	5	2	0
DB00150	0	0	0	1
DB00154	2	18	0	15
DB00159	1	4	3	4
DB00162	5	33	13	30
DB00163	2	4	0	1
DB00165	0	0	0	1
DB00170	558	216	353	186
DB00175	0	1	1	3
DB00176	2	3	0	1
DB00177	1	2	0	4
DB00180	5	26	8	27
DB00184	2	5	2	1
DB00186	1	0	0	0
DB00187	1	12	0	5
DB00188	465	264	535	236
DB00190	4	12	2	5
DB00191	0	1	0	2
DB00193	1	8	1	14
DB00194	1	7	0	0
DB00195	0	1	0	0
DB00196	0	10	1	4
DB00197	18	85	32	83
DB00199	0	4	1	2
DB00201	1	3	1	1
DB00203	3	2	1	0
DB00204	1	6	0	1
DB00205	10	28	0	15
DB00206	18	86	13	41
DB00207	0	11	1	4
DB00208	1	0	0	0
DB00210	0	2	0	2
DB00211	0	1	0	1
DB00213	0	2	0	1
DB00214	1	5	0	2
DB00215	1	7	1	2
DB00220	0	5	15	27
DB00223	6	33	7	27
DB00224	2	16	1	2
DB00227	72	80	9	49
DB00229	5	17	2	16
DB00233	1	4	0	7
DB00234	0	4	0	5
DB00239	0	4	0	4
DB00242	22	31	7	41
DB00243	1	3	1	4
DB00244	4	23	3	7
DB00245	0	1	0	1
DB00246	1	0	0	0
DB00247	2	0	0	0
DB00248	2	4	0	2
DB00249	0	2	1	5
DB00250	0	2	0	1
DB00251	0	0	0	2
DB00252	4	3	2	2
DB00253	2	11	1	17
DB00255	1	0	0	1
DB00257	0	0	0	3
DB00260	0	1	0	2
DB00261	1	33	0	17
DB00263	0	2	0	0
DB00264	0	2	0	5
DB00265	1	2	1	1
DB00266	0	2	0	0
DB00268	0	9	0	7
DB00269	0	2	1	1
DB00270	1	4	0	1
DB00272	0	2	0	2
DB00273	1	3	1	1
DB00274	1	2	0	0
DB00277	0	2	0	1
DB00279	0	0	0	2
DB00280	0	0	1	2
DB00281	1	3	0	0
DB00283	0	8	0	6
DB00284	4	2	0	2
DB00286	0	2	1	1
DB00288	1	10	1	16
DB00289	2	2	0	0
DB00291	5	15	8	19
DB00292	0	2	0	1
