perturbagen	down-imputed	down-measured	up-imputed	up-measured
2	10	24	4	5
9	2	15	0	3
16	2	9	0	1
18	310	121	469	120
19	2	7	0	1
21	1	17	0	7
22	3	5	0	0
23	9	26	10	23
25	63	88	67	60
27	150	103	100	53
30	65	61	39	38
31	10	37	13	15
32	12	30	10	14
34	7	20	2	4
35	21	42	5	12
36	1	8	3	0
38	1	8	0	1
39	457	158	263	131
47	64	60	86	27
50	98	86	81	71
60	24	37	14	24
87	7	17	1	4
90	7	11	3	6
91	2	2	0	1
92	0	2	2	0
93	23	50	8	31
94	0	1	1	1
95	18	34	4	9
100	4	17	2	6
102	7	17	8	5
103	8	39	6	9
109	27	47	15	20
111	5	18	7	11
115	5	21	4	9
128	53	41	31	21
130	4	7	3	9
132	2	11	1	5
135	0	4	3	1
136	3	18	1	1
142	3	10	1	5
143	17	30	5	16
150	3	14	3	1
152	3	9	1	5
154	0	7	1	1
156	0	7	0	3
157	0	14	1	8
158	0	5	3	1
159	0	5	0	0
160	3	17	2	8
161	34	50	23	22
162	2	2	1	0
166	4	16	4	9
174	11	33	4	12
178	395	145	260	146
182	37	58	31	28
183	6	19	4	5
185	0	16	8	3
190	2	23	2	5
191	4	16	2	5
196	56	70	17	31
203	4	15	3	7
204	16	30	7	16
205	11	19	7	8
207	517	160	400	144
208	30	40	13	19
210	6	21	5	11
211	25	24	15	19
212	3	16	1	2
213	28	32	15	10
216	5	15	1	7
217	2	2	0	1
218	2	13	5	2
219	6	8	1	5
220	5	29	1	11
221	17	43	14	20
222	1	3	1	3
223	24	34	10	5
224	1	2	0	0
226	46	54	21	30
230	20	51	23	17
231	64	57	25	50
238	6	33	1	9
259	3	4	0	1
262	4	17	0	9
269	1	7	0	4
271	4	11	4	4
275	4	9	4	4
283	2	19	8	10
284	0	8	1	1
290	5	30	8	12
291	273	111	231	70
292	5	20	2	11
293	17	54	14	28
301	5	15	1	6
302	7	19	2	4
306	5	19	6	5
308	15	47	8	24
310	74	50	53	33
317	0	5	1	1
323	1	13	4	2
324	18	51	16	21
326	3	8	3	4
327	1	7	0	2
328	2	13	3	5
329	23	39	8	12
330	9	26	19	5
331	7	22	4	6
332	227	124	171	102
335	5	28	3	2
336	0	13	0	6
338	2	17	4	9
344	2	18	4	14
345	1	7	2	4
348	32	32	25	31
350	8	31	4	17
