perturbagen	down-imputed	down-measured	up-imputed	up-measured
2	0	1	1	1
9	0	1	0	1
18	0	1	0	0
25	1	0	0	1
30	1	1	0	3
35	1	0	1	1
47	1	0	2	2
60	0	0	0	2
81	5	11	2	10
88	0	1	0	0
91	0	2	0	1
93	7	79	45	100
100	0	2	0	3
109	0	3	0	1
115	0	1	0	1
128	0	2	0	0
135	0	1	0	0
136	0	1	0	3
154	0	1	0	0
158	0	1	1	0
159	0	1	0	3
183	0	15	0	17
190	1	2	0	2
191	0	0	0	1
196	0	0	0	1
204	0	1	0	1
207	0	0	0	7
208	0	1	0	0
218	1	1	0	0
219	2	0	0	1
221	0	1	0	2
222	0	1	0	0
226	0	0	0	1
238	0	2	5	9
259	0	4	0	7
283	0	1	2	2
291	0	1	0	0
308	0	1	3	2
310	2	2	1	7
326	1	3	0	1
328	0	0	0	2
329	0	1	0	0
332	0	2	0	2
335	0	1	0	0
345	1	1	0	6
353	2	5	0	4
355	0	7	0	14
375	2	0	0	0
382	1	1	0	1
384	0	0	0	2
387	1	6	0	6
390	2	0	0	1
405	0	0	0	1
406	0	7	1	2
408	0	1	0	3
427	0	5	3	1
430	1	10	0	15
433	0	1	0	2
439	0	3	1	0
440	0	2	1	1
445	0	1	0	0
466	1	0	1	0
467	0	2	0	0
468	0	2	2	4
471	1	2	2	8
474	0	5	0	3
475	1	0	3	1
481	2	1	0	4
506	6	11	1	23
509	0	0	0	3
513	2	3	3	1
527	1	2	2	2
535	0	0	0	7
558	0	11	2	8
563	0	1	0	2
571	0	1	0	2
572	3	1	0	2
573	0	2	0	3
581	1	14	2	6
587	1	2	0	1
595	4	9	4	21
598	0	1	0	3
599	0	0	30	6
604	2	3	0	5
629	0	1	0	3
637	1	1	0	2
638	0	0	1	1
639	5	30	2	22
642	1	1	0	0
644	1	1	0	2
652	0	6	3	11
660	0	1	1	3
662	4	3	1	2
664	0	0	0	1
670	1	6	0	0
672	0	1	0	1
673	1	0	0	8
677	1	22	0	6
687	1	8	2	14
694	1	4	0	1
695	0	0	0	3
701	0	1	0	2
712	1	21	32	32
716	2	0	0	0
717	0	1	0	0
758	2	0	0	2
780	0	0	1	0
801	1	0	0	1
808	0	0	0	2
811	0	1	0	0
819	0	2	1	0
823	0	1	0	0
835	2	10	0	8
836	2	7	1	1
842	0	0	0	1
847	2	2	0	4
857	0	1	0	1
865	1	1	0	2
866	3	6	5	1
868	0	0	0	3
873	0	4	2	2
874	4	1	4	4
875	0	2	0	12
883	1	4	0	3
896	0	3	1	0
898	0	1	0	1
902	0	0	0	1
929	1	3	0	1
930	0	0	0	2
944	1	0	0	1
948	0	0	1	0
958	0	22	73	45
960	0	2	1	3
966	1	1	0	2
976	1	3	0	2
994	0	0	0	1
995	0	2	1	1
1018	0	2	0	1
1019	0	0	0	1
1021	0	16	2	25
1022	0	0	1	1
1024	2	5	3	0
1025	0	1	0	1
1026	54	45	0	14
1027	79	86	16	50
1031	93	61	3	24
1036	0	1	0	5
1045	56	93	19	81
1053	0	0	1	1
1054	0	0	0	1
1070	0	1	1	2
1072	1	1	0	6
1102	0	0	1	1
1105	0	1	0	0
1106	0	0	0	3
1112	1	1	0	1
1113	0	0	1	0
1123	0	0	0	1
1152	0	1	0	0
1154	0	4	0	0
1155	0	2	0	1
1173	0	4	0	0
1195	1	0	0	0
1196	0	2	1	0
1198	2	14	1	6
1209	1	0	0	1
1211	1	3	0	1
1312	0	3	0	2
1316	400	155	250	139
1326	0	0	0	5
1349	0	1	1	4
1362	0	0	0	1
1363	0	1	1	1
1374	1	2	1	3
1385	0	0	0	2
1386	0	1	0	3
1388	0	0	0	1
1398	0	1	0	5
1399	2	5	1	5
1406	1	13	0	11
1407	2	2	0	0
1429	2	2	0	8
1431	1	0	0	1
1432	0	1	0	0
1440	0	1	0	0
1445	4	11	1	1
1452	0	2	1	3
1453	1	5	0	1
1454	3	7	1	4
1455	0	0	0	2
1456	0	4	0	2
1457	0	16	1	12
1459	1	9	0	5
1460	0	0	0	1
1468	0	0	0	4
1487	1	6	0	21
1488	1	1	0	4
1490	2	3	0	4
1493	0	1	0	8
1509	1	2	5	2
1513	1	6	0	6
1514	0	2	0	0
1525	2	1	0	1
1528	0	1	0	1
1534	0	1	0	0
1537	1	5	0	2
1543	0	3	0	4
1571	0	3	1	1
1577	0	2	0	4
1591	0	2	0	0
1595	0	2	1	4
1602	0	3	0	2
1606	0	1	1	2
1611	0	0	0	1
1612	0	1	0	1
1615	0	0	2	0
1616	138	117	295	141
1622	0	0	0	4
1633	0	1	1	2
1643	1	0	0	5
1646	0	0	0	1
1647	12	70	6	36
1649	0	1	0	4
1650	0	0	0	1
1659	0	0	0	5
1666	1	5	2	4
1676	0	1	0	0
1677	0	1	0	1
1718	1	1	0	1
1719	0	1	0	1
1738	0	0	1	1
1746	0	0	0	1
1747	9	37	0	44
1750	1	4	0	4
1788	1	1	0	2
1806	1	2	0	2
1810	0	3	1	4
1831	1	6	1	2
1846	0	4	0	1
1848	3	28	2	17
1854	0	2	0	1
1855	1	0	0	0
1861	0	2	0	2
1871	1	2	0	1
1876	0	2	0	0
1879	154	120	110	96
1891	1	1	2	3
1892	0	2	0	1
1902	1	2	0	8
1903	0	2	0	2
1936	0	0	0	2
1948	1	1	2	5
1956	1	0	0	1
1958	60	92	57	75
1959	0	2	0	1
1960	0	2	0	6
1962	1	0	0	0
1969	0	1	0	2
1974	1	2	1	0
1978	0	20	1	10
1979	1	8	0	3
1984	1	0	0	4
1997	1	0	0	2
1998	0	2	0	0
2000	0	0	0	5
2002	0	14	1	8
2004	6	52	0	40
2010	1	0	0	2
2017	0	0	1	2
2042	0	0	0	5
