perturbagen	down-imputed	down-measured	up-imputed	up-measured
56582	0	0	0	1
5981	2	5	2	36
7150	2	1	11	5
ABL1_G2A	1	3	1	0
ABL1_T315I	2	4	1	5
ACHE	0	4	0	3
ACVRL1_C344P	0	0	1	0
ACVRL1_R374W	0	1	1	0
ADM	14	43	4	40
AGT	0	1	1	1
AHSG	0	5	0	5
AIMP1	0	2	0	6
AKT2_R274H	0	0	2	1
ALK_F1174L	1	3	7	15
ALK_R1275Q	0	3	1	11
ALK_T1151M	1	7	2	14
ANG	0	1	1	10
ANGPT1	0	5	2	6
ANGPT2	2	13	2	8
ANGPT4	1	0	1	2
APCS	0	5	0	4
APLN	0	9	2	5
APOA4	0	5	0	6
APOE	0	0	0	2
AREG	0	1	0	2
ARTN	5	21	7	13
AVP	0	4	0	1
B2M	1	17	3	8
BCR-ABL	1	1	3	4
BCR-ABL_E236K	0	1	0	0
BCR-ABL_E281K	2	0	2	4
BCR-ABL_E316D	0	0	2	0
BCR-ABL_E494A	0	0	1	0
BCR-ABL_F317L	1	0	0	0
BCR-ABL_F382A	0	0	1	0
BCR-ABL_G250E	0	0	0	1
BCR-ABL_G321D	0	0	1	0
BCR-ABL_G372R	1	0	1	1
BCR-ABL_H396P	2	0	1	0
BCR-ABL_H396R	0	0	1	0
BCR-ABL_K271N	1	0	0	0
BCR-ABL_L451M	4	0	1	0
BCR-ABL_M244I	1	2	2	0
BCR-ABL_M278K	1	0	1	0
BCR-ABL_M472I	0	3	1	0
BCR-ABL_Q252H	1	0	1	0
BCR-ABL_Q346H	0	0	1	0
BCR-ABL_T224A	1	0	2	9
BCR-ABL_T315I	0	0	4	4
BCR-ABL_V289F	0	0	1	0
BCR-ABL_V339A	0	0	1	0
BCR-ABL_Y253H	1	0	1	0
BCR-ABL_Y440C	1	0	0	1
BDNF	0	7	2	1
BGLAP	0	1	0	0
BMP10	0	6	0	2
BMP11	0	2	2	2
BMP13	0	3	0	2
BMP2	0	1	0	2
BMP4	1	5	0	7
BMP6	0	1	0	1
BMP7	0	2	0	4
BMPR1B-R486W	0	1	0	0
BMPR2_C483R	1	0	0	0
BMPR2_R491Q	0	1	0	0
BRAF_A727V	2	3	4	18
BRAF_E586K	2	2	3	12
BRAF_G464V	1	10	7	18
BRAF_G466A	0	0	2	5
BRAF_G466E	0	0	1	0
BRAF_G466V	0	0	0	1
BRAF_G469A	2	15	11	28
BRAF_G469E	1	0	0	2
BRAF_G596R	0	0	1	0
BRAF_K601E	1	11	5	22
BRAF_V600E	1	14	7	29
BRD-A00100033	1	2	1	5
BRD-A00150179	1	3	0	7
BRD-A00267231	1	14	0	7
BRD-A00420644	4	39	17	35
BRD-A00474148	1	3	0	3
BRD-A00546892	0	3	0	2
BRD-A00626522	1	0	1	0
BRD-A00758722	0	19	3	6
BRD-A00993607	1	31	1	4
BRD-A01078468	0	2	1	1
BRD-A01145011	4	6	3	4
BRD-A01295252	1	4	0	3
BRD-A01317026	0	3	1	2
BRD-A01320529	1	13	5	12
BRD-A01346607	1	16	1	19
BRD-A01593789	0	2	0	0
BRD-A01643550	23	47	22	46
BRD-A01787639	0	2	0	0
BRD-A01960364	1	3	1	0
BRD-A01973626	0	1	0	0
BRD-A01999384	2	4	1	0
BRD-A02006392	0	6	2	9
BRD-A02176148	0	0	0	2
BRD-A02180903	1	9	1	11
BRD-A02189320	0	6	1	4
BRD-A02198599	0	1	1	0
BRD-A02241946	0	1	0	3
BRD-A02333338	331	130	119	85
BRD-A02367930	1	2	1	0
BRD-A02481876	501	248	499	237
BRD-A02579693	1	20	6	15
BRD-A02710418	0	0	0	3
BRD-A02713983	1	6	0	3
BRD-A02747686	0	3	0	2
BRD-A02759312	0	1	0	0
BRD-A02809788	0	1	0	1
BRD-A02836799	0	2	0	4
BRD-A02990301	0	0	0	1
BRD-A03044413	0	1	0	0
BRD-A03061970	1	3	1	2
BRD-A03216249	0	4	0	3
BRD-A03323675	0	2	1	0
BRD-A03359064	0	0	0	6
BRD-A03436432	1	0	0	0
BRD-A03520402	1	0	0	0
BRD-A03623303	0	2	0	5
BRD-A03772856	1	3	2	1
BRD-A03816571	0	1	0	3
BRD-A03926027	1	0	0	2
BRD-A03946276	0	0	0	1
BRD-A04020513	2	1	3	0
BRD-A04026261	0	2	1	5
BRD-A04172077	0	3	0	4
BRD-A04260165	1	3	0	0
BRD-A04308630	1	25	3	26
BRD-A04327189	0	2	0	1
BRD-A04332542	0	1	0	1
BRD-A04352665	0	1	0	3
BRD-A04392722	2	1	1	2
BRD-A04553218	2	5	1	5
BRD-A04668240	0	9	0	4
BRD-A04706586	1	7	0	2
BRD-A04756508	0	4	0	4
BRD-A04831598	12	9	6	7
BRD-A05186015	2	24	1	3
BRD-A05352148	1	2	1	0
BRD-A05457250	1	3	1	0
BRD-A05565054	0	14	0	11
BRD-A05680309	0	3	3	12
BRD-A05729358	0	1	0	0
BRD-A05831822	0	1	2	2
